==== Logging ASAMI ====
t, Ws_t, Wa_t, gtDistance
23.333,-23.790,-25.133,1641.273
23.400,-25.183,-25.810,1740.739
23.500,-27.166,-26.992,1751.845
23.533,-27.804,-27.431,1706.550
23.567,-28.442,-27.893,1718.484
23.600,-28.968,-28.374,1839.365
23.667,-30.226,-29.375,1769.695
23.733,-31.438,-30.449,1651.850
23.800,-32.755,-31.597,1580.591
23.833,-33.225,-32.211,1706.761
23.867,-33.869,-32.843,1625.707
23.900,-34.434,-33.489,1644.768
23.933,-35.097,-34.153,1601.074
23.967,-35.634,-34.828,1722.564
24.000,-36.268,-35.519,1609.799
24.033,-36.779,-36.220,1862.343
24.100,-37.924,-37.644,1646.854
24.133,-38.420,-38.379,1887.499
24.200,-39.618,-39.886,1671.917
24.233,-40.119,-40.652,1821.970
24.267,-40.792,-41.431,1971.302
24.300,-41.325,-42.219,1984.266
24.367,-42.599,-43.862,1747.118
24.433,-43.744,-45.556,1845.286
24.467,-44.291,-46.387,1741.357
24.500,-45.020,-47.231,1818.803
24.567,-46.221,-49.026,1944.938
24.600,-46.840,-49.893,1935.717
24.633,-47.476,-50.768,1794.407
24.667,-48.212,-51.655,2027.681
24.733,-49.405,-53.573,1957.341
24.767,-50.087,-54.479,1746.380
24.867,-51.700,-57.550,1777.195
24.900,-52.353,-58.464,2040.958
24.967,-53.631,-60.527,1959.795
25.033,-54.901,-62.630,2085.615
25.100,-56.144,-64.770,2015.708
25.167,-57.565,-66.952,2007.180
25.200,-58.373,-67.902,1750.768
25.267,-59.757,-70.151,1865.821
25.300,-60.507,-71.115,1778.701
25.367,-61.918,-73.428,2095.826
25.467,-63.808,-77.161,1770.904
25.500,-64.579,-78.126,1840.673
25.533,-65.492,-79.105,1918.155
25.567,-66.344,-80.097,2101.356
25.633,-67.791,-82.570,1791.000
25.700,-69.437,-85.082,1989.178
25.733,-70.394,-84.604,1854.555
25.767,-71.205,-84.180,2115.410
25.800,-72.132,-83.812,2181.696
25.833,-72.903,-83.494,2138.638
25.867,-73.596,-83.220,1882.520
25.900,-74.383,-82.994,1980.876
26.000,-76.120,-83.037,1876.046
26.033,-76.808,-82.942,2105.012
26.067,-77.500,-82.886,1838.504
26.100,-78.169,-82.864,1929.026
26.167,-79.194,-83.048,2022.543
26.200,-79.809,-83.110,2025.565
