==== Logging ASAMI ====
t, Ws_t, Wa_t, gtDistance
26.733,-88.834,-94.454,1904.011
26.767,-89.269,-94.416,2012.775
26.833,-90.232,-94.579,1897.381
26.933,-91.520,-95.017,2189.234
26.967,-91.980,-95.118,2010.371
27.000,-92.386,-95.240,2130.327
27.033,-92.783,-95.383,2295.458
27.100,-93.612,-95.807,1931.116
27.133,-93.952,-96.003,2034.090
27.167,-94.367,-96.218,2106.632
27.200,-94.697,-96.448,2188.858
27.233,-95.041,-96.694,2297.514
27.267,-95.384,-96.953,2328.593
27.300,-95.803,-97.229,2152.423
27.400,-96.927,-98.230,2371.151
27.467,-97.687,-98.942,2250.314
27.533,-98.363,-99.698,2160.736
27.667,-99.922,-101.390,2366.298
27.733,-100.694,-102.277,2380.401
27.867,-102.071,-104.225,2200.905
27.900,-102.408,-104.681,2135.404
27.933,-102.728,-105.144,1997.686
27.967,-103.156,-105.617,2158.254
28.000,-103.526,-106.097,2323.331
28.033,-103.881,-106.585,2004.823
28.067,-104.310,-107.082,2264.892
28.133,-105.003,-108.192,2431.170
28.167,-105.395,-108.706,2292.265
28.200,-105.801,-109.227,2298.350
28.233,-106.244,-109.756,2350.756
28.267,-106.669,-110.294,2324.955
28.300,-107.022,-110.836,2200.785
28.333,-107.393,-111.384,2331.872
28.400,-108.126,-112.635,2069.586
28.467,-108.731,-113.909,2032.638
28.500,-109.118,-114.468,2293.655
28.533,-109.471,-115.032,2443.447
28.567,-109.910,-115.602,2374.427
28.600,-110.280,-116.177,2151.019
28.667,-110.929,-117.541,2065.923
28.700,-111.296,-118.120,2346.517
28.733,-111.758,-118.705,2140.102
28.800,-112.491,-120.127,2349.146
28.833,-112.950,-120.719,2180.625
28.900,-113.716,-122.182,2192.731
29.000,-114.780,-124.563,2203.205
29.033,-115.228,-125.151,2246.401
29.100,-116.080,-126.679,2124.617
29.133,-116.564,-127.275,2335.805
29.267,-117.955,-130.806,2440.114
29.333,-118.793,-132.393,2425.241
29.367,-119.306,-132.968,2417.174
29.400,-119.788,-132.542,2365.527
29.433,-120.242,-132.158,2204.518
29.467,-120.672,-131.814,2418.959
29.500,-121.200,-131.512,2170.894
29.533,-121.688,-131.250,2307.010
29.567,-122.187,-131.026,2471.698
29.600,-122.585,-130.836,2272.121
29.633,-123.032,-130.680,2512.415
29.667,-123.501,-130.558,2172.120
29.700,-123.954,-130.468,2136.716
29.733,-124.420,-130.410,2140.433
29.767,-124.874,-130.382,2320.840
29.800,-125.293,-130.381,2331.656
29.900,-126.511,-130.839,2175.796
29.933,-126.957,-130.931,2153.885
30.000,-127.731,-131.306,2276.819
30.033,-128.177,-131.462,2498.171
30.067,-128.543,-131.639,2420.780
30.100,-128.945,-131.835,2279.345
30.133,-129.282,-132.050,2327.690
30.200,-129.972,-132.619,2612.478
30.233,-130.399,-132.884,2526.569
30.267,-130.776,-133.165,2506.280
30.300,-131.106,-133.461,2450.590
30.333,-131.481,-133.773,2178.202
30.433,-132.520,-134.943,2615.568
30.467,-132.858,-135.303,2337.768
30.500,-133.270,-135.678,2394.621
30.533,-133.686,-136.068,2292.055
30.567,-134.019,-136.469,2401.583
30.633,-134.809,-137.390,2436.113
30.733,-135.943,-138.905,2405.382
30.767,-136.326,-139.367,2325.552
30.833,-137.071,-140.423,2453.377
30.867,-137.391,-140.909,2224.919
30.900,-137.745,-141.402,2229.461
30.967,-138.390,-142.540,2399.246
31.033,-139.027,-143.712,2488.424
31.100,-139.808,-144.924,2542.090
31.133,-140.206,-145.457,2308.734
31.167,-140.542,-145.997,2404.978
31.367,-142.477,-150.374,2476.405
31.433,-143.293,-151.740,2718.583
31.533,-144.502,-154.000,2442.565
31.567,-145.008,-154.560,2698.802
31.600,-145.462,-155.130,2524.661
31.633,-145.932,-155.709,2594.583
31.667,-146.416,-156.298,2417.597
31.733,-147.166,-157.831,2317.463
31.800,-147.917,-159.389,2379.348
31.867,-148.737,-160.975,2709.332
31.933,-149.552,-162.588,2454.910
31.967,-150.099,-163.188,2386.356
32.033,-150.958,-164.851,2702.378
32.067,-151.409,-165.458,2414.177
32.133,-152.221,-167.167,2552.323
32.167,-152.790,-167.782,2843.949
32.200,-153.339,-168.408,2768.794
32.267,-154.153,-170.186,2520.426
32.300,-154.698,-170.816,2388.283
32.333,-155.277,-171.458,2526.214
32.367,-155.783,-172.108,2867.688
32.400,-156.354,-171.596,2523.250
32.433,-156.878,-171.131,2689.011
32.567,-158.340,-170.936,2507.834
32.600,-158.841,-170.623,2717.911
32.633,-159.325,-170.350,2676.298
32.700,-160.027,-170.251,2800.820
32.733,-160.426,-170.065,2637.085
32.767,-160.919,-169.915,2728.303
32.967,-162.968,-170.881,2645.483
33.000,-163.423,-170.877,2507.143
33.033,-163.813,-170.900,2730.972
33.100,-164.659,-171.246,2726.385
33.133,-165.022,-171.335,2576.671
33.200,-165.797,-171.781,2861.846
33.267,-166.505,-172.288,2686.848
33.333,-167.246,-172.855,2487.583
33.433,-168.392,-173.904,2709.269
33.467,-168.795,-174.159,2670.600
33.500,-169.113,-174.429,2816.055
33.533,-169.456,-174.714,2870.192
33.633,-170.403,-176.001,2501.380
33.667,-170.780,-176.329,2944.066
33.700,-171.137,-176.672,2693.445
33.733,-171.535,-177.029,2860.764
33.800,-172.202,-177.963,2685.581
33.833,-172.546,-178.349,2740.964
33.967,-173.908,-180.598,2559.872
34.000,-174.327,-181.020,2785.669
34.033,-174.747,-181.455,2656.466
34.067,-175.135,-181.902,2987.062
34.233,-176.781,-185.210,2837.749
34.267,-177.126,-185.675,2533.563
34.300,-177.560,-186.152,2860.904
34.333,-177.943,-186.638,3059.379
34.367,-178.365,-186.354,2904.401
34.500,-179.428,-186.000,2900.793
34.533,-179.732,-185.738,2907.408
34.633,-180.339,-185.347,2701.782
34.667,-180.522,-185.098,2885.650
34.733,-180.817,-184.753,2963.871
34.767,-180.984,-184.513,3048.271
34.800,-181.114,-184.382,2923.221
34.833,-181.236,-184.242,2658.809
34.967,-181.457,-183.835,3019.947
35.000,-181.495,-183.746,2802.582
35.033,-181.526,-183.652,2873.412
35.100,-181.534,-183.508,2820.845
35.133,-181.537,-183.391,2567.596
35.167,-181.526,-183.266,2731.016
35.200,-181.517,-183.135,2657.768
35.267,-181.443,-182.902,2722.202
35.333,-181.349,-182.632,2706.524
35.367,-181.293,-182.463,2866.423
35.400,-181.241,-182.287,3025.989
35.433,-181.179,-182.236,2720.236
35.467,-181.091,-182.169,2586.726
35.533,-180.903,-182.025,2668.529
35.600,-180.682,-181.821,2643.594
35.633,-180.576,-181.678,2750.107
35.700,-180.304,-181.387,2552.581
35.733,-180.154,-181.201,2896.019
35.767,-179.983,-181.001,2947.232
35.800,-179.855,-180.789,2778.522
35.833,-179.703,-180.565,2897.455
35.900,-179.320,-180.103,2576.000
35.933,-179.125,-179.839,2902.481
35.967,-178.919,-179.562,2931.944
36.000,-178.693,-179.273,2724.981
36.033,-178.498,-178.972,2798.967
36.067,-178.305,-178.660,2994.533
36.100,-178.115,-178.338,2579.532
36.167,-177.722,-177.666,2764.927
36.200,-177.494,-177.313,2527.676
36.267,-176.951,-176.563,2757.427
36.300,-176.699,-176.176,2699.385
36.333,-176.446,-175.780,2506.110
36.367,-176.188,-175.426,2576.334
36.400,-175.960,-175.071,2963.016
36.433,-175.733,-174.716,2997.853
36.467,-175.437,-174.359,2634.625
36.500,-175.165,-174.001,2687.278
36.533,-174.945,-173.643,2628.146
36.633,-174.185,-172.448,2781.026
36.733,-173.342,-171.203,2626.902
36.767,-172.988,-170.833,2778.592
36.800,-172.716,-170.468,2641.728
36.833,-172.439,-170.107,2526.803
36.867,-172.079,-169.745,2927.161
36.900,-171.739,-169.383,2897.876
36.967,-171.125,-168.568,2786.612
37.000,-170.830,-168.201,2727.865
37.033,-170.482,-167.833,2719.001
37.067,-170.151,-167.464,2704.370
37.100,-169.806,-167.092,2877.732
37.133,-169.461,-166.719,2701.866
